year;title;studios;producers;winner
2020;Phantom Of Truth;Nova Cinema;Charlie Gray;
2021;Storm Awakening;Starlight Studios;Alice Stone;
2021;Storm Awakening;Starlight Studios;Charlie Gray;
2021;Silent Voyage;Starlight Studios;Bob Brown;
2021;Phantom Horizon;Starlight Studios;Gary Silver;
2021;Shadow Legacy;Galaxy Entertainment;Gary Silver;
2022;Shadow Of Truth;Starlight Studios;Gary Silver;
2022;Echo Empire;Moonlight Films;Fiona Green;
2022;Rogue Fate;Nova Cinema;Alice Stone;
2022;Storm Legacy;Moonlight Films;Evan Black;
2023;Quantum Awakening;Galaxy Entertainment;Bob Brown;
2023;Shadow Empire;Starlight Studios;Gary Silver;
2023;Shadow Reckoning;Moonlight Films;Fiona Green;
2024;Storm Reckoning;Nova Cinema;Gary Silver;
2024;Mystic Awakening;Moonlight Films;Gary Silver;
2024;Echo Awakening;Galaxy Entertainment;Alice Stone;
2024;Quantum Quest;Galaxy Entertainment;Fiona Green;yes
